input_file_name,width,height,bitrate [kb/s],duration [s],model_cpu_energy [kWh]
AncientThought_s006.265,640,360,145,7.395848989486694,0.0001459447533925
AncientThought_s006.265,960,540,1600,8.712893962860107,0.0001721280607329
AncientThought_s006.265,1280,720,3400,10.52433967590332,0.0002142287809583
AncientThought_s006.265,1920,1080,5800,15.261475563049316,0.0003235432819366
AncientThought_s006.265,2560,1440,8100,21.616453409194943,0.0004597099091688
AncientThought_s006.265,3840,2160,16800,41.52062177658081,0.0008820825426313
AncientThought_s007.265,640,360,145,7.334017753601074,0.0001463543987274
AncientThought_s007.265,960,540,1600,8.674480438232422,0.0001734896087646
AncientThought_s007.265,1280,720,3400,10.593071937561035,0.0002160986675262
AncientThought_s007.265,1920,1080,5800,15.472662687301636,0.0003283642859194
AncientThought_s007.265,2560,1440,8100,21.906172513961792,0.0004658712687969
AncientThought_s007.265,3840,2160,16800,41.99076652526856,0.0008902042503356
AncientThought_s008.265,640,360,145,8.17960786819458,0.0001615926976627
AncientThought_s008.265,960,540,1600,9.84670901298523,0.0001943083911895
AncientThought_s008.265,1280,720,3400,11.812289953231812,0.0002396582383844
AncientThought_s008.265,1920,1080,5800,16.55428147315979,0.0003516865130742
AncientThought_s008.265,2560,1440,8100,23.52308750152588,0.000502348601977
AncientThought_s008.265,3840,2160,16800,45.47935247421265,0.0009671942292849
AncientThought_s009.265,640,360,145,10.182273626327516,0.0002036454725265
AncientThought_s009.265,960,540,1600,12.098780393600464,0.0002478905671755
AncientThought_s009.265,1280,720,3400,14.822251081466677,0.0003115966560681
AncientThought_s009.265,1920,1080,5800,20.98517251014709,0.0004509480403847
AncientThought_s009.265,2560,1440,8100,29.77768421173096,0.0006385658947626
AncientThought_s009.265,3840,2160,16800,58.407307624816895,0.0012564060840182
AncientThought_s010.265,640,360,145,8.709070444107056,0.0001697301062107
AncientThought_s010.265,960,540,1600,10.206753492355348,0.0002018669024043
AncientThought_s010.265,1280,720,3400,12.203930139541626,0.0002446209996859
AncientThought_s010.265,1920,1080,5800,17.052632093429565,0.000355452642303
AncientThought_s010.265,2560,1440,8100,23.85254907608032,0.0005030237571822
AncientThought_s010.265,3840,2160,16800,46.627880334854126,0.0009936919386916
AncientThought_s011.265,640,360,145,8.064332723617554,0.0001618242766539
AncientThought_s011.265,960,540,1600,9.735258102416992,0.0001964358745998
AncientThought_s011.265,1280,720,3400,11.9721360206604,0.0002442315748214
AncientThought_s011.265,1920,1080,5800,17.57713031768799,0.0003749787801106
AncientThought_s011.265,2560,1440,8100,25.270771026611328,0.00054023292728
AncientThought_s011.265,3840,2160,16800,50.42764902114868,0.0010869959900114
AncientThought_s012.265,640,360,145,7.96112060546875,0.0001570994466145
AncientThought_s012.265,960,540,1600,9.40028691291809,0.0001880057382583
AncientThought_s012.265,1280,720,3400,11.562190771102903,0.0002363825668758
AncientThought_s012.265,1920,1080,5800,16.566913843154907,0.0003504822661929
AncientThought_s012.265,2560,1440,8100,23.329272747039795,0.0004956174388037
AncientThought_s012.265,3840,2160,16800,45.76891732215881,0.0009764035695393
AncientThought_s013.265,640,360,145,8.414989948272705,0.0001664298011991
AncientThought_s013.265,960,540,1600,10.465003967285156,0.0002072070785522
AncientThought_s013.265,1280,720,3400,13.02762508392334,0.0002680795739491
AncientThought_s013.265,1920,1080,5800,18.9425015449524,0.0004041066996256
AncientThought_s013.265,2560,1440,8100,27.72981309890747,0.00059156934611
AncientThought_s013.265,3840,2160,16800,54.20646667480469,0.0011588137986924
AncientThought_s014.265,640,360,145,8.041470766067505,0.0001608294153213
AncientThought_s014.265,960,540,1600,9.65024447441101,0.0001942915887514
AncientThought_s014.265,1280,720,3400,11.830469369888306,0.0002434447697003
AncientThought_s014.265,1920,1080,5800,16.873770475387573,0.0003577239340782
