segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s015.265,3840,2160,52.1,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00101554,0.059917,0.044684,-34.1
AncientThought_s016.265,640,360,8.7,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.0001563,0.009222,0.006877,-34.1
AncientThought_s016.265,960,540,10.3,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.0001882,0.011104,0.008281,-34.1
AncientThought_s016.265,1280,720,12.4,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00023134,0.013649,0.010179,-34.1
AncientThought_s016.265,1920,1080,17.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00033831,0.01996,0.014885,-34.1
AncientThought_s016.265,2560,1440,25.3,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00048793,0.028788,0.021469,-34.1
AncientThought_s016.265,3840,2160,49.9,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00097083,0.057279,0.042716,-34.1
AncientThought_s017.265,640,360,9.2,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00016328,0.009634,0.007184,-34.1
AncientThought_s017.265,960,540,11.1,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00020035,0.011821,0.008815,-34.1
AncientThought_s017.265,1280,720,13.8,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00025637,0.015126,0.01128,-34.1
AncientThought_s017.265,1920,1080,20.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00038388,0.022649,0.016891,-34.1
AncientThought_s017.265,2560,1440,28.4,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00054991,0.032445,0.024196,-34.1
AncientThought_s017.265,3840,2160,55.9,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00108137,0.063801,0.04758,-34.1
AncientThought_s018.265,640,360,10.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.0001819,0.010732,0.008004,-34.1
AncientThought_s018.265,960,540,12.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00022085,0.01303,0.009718,-34.1
AncientThought_s018.265,1280,720,14.7,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00027598,0.016283,0.012143,-34.1
AncientThought_s018.265,1920,1080,21.3,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00041452,0.024457,0.018239,-34.1
AncientThought_s018.265,2560,1440,30.9,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00060737,0.035835,0.026724,-34.1
AncientThought_s018.265,3840,2160,62.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00121929,0.071938,0.053649,-34.1
AncientThought_s019.265,640,360,9.2,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00016297,0.009615,0.007171,-34.1
AncientThought_s019.265,960,540,11.2,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00020383,0.012026,0.008969,-34.1
AncientThought_s019.265,1280,720,14.2,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00026351,0.015547,0.011594,-34.1
AncientThought_s019.265,1920,1080,20.5,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00039544,0.023331,0.017399,-34.1
AncientThought_s019.265,2560,1440,29.1,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00056678,0.03344,0.024938,-34.1
AncientThought_s019.265,3840,2160,56.4,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00109957,0.064874,0.048381,-34.1
AncientThought_s020.265,640,360,9.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00017504,0.010327,0.007702,-34.1
AncientThought_s020.265,960,540,11.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00020147,0.011887,0.008865,-34.1
AncientThought_s020.265,1280,720,13.3,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00024762,0.014609,0.010895,-34.1
AncientThought_s020.265,1920,1080,18.5,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00035893,0.021177,0.015793,-34.1
AncientThought_s020.265,2560,1440,26.3,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00051019,0.030101,0.022448,-34.1
AncientThought_s020.265,3840,2160,52.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.0010162,0.059956,0.044713,-34.1
AncientThought_s021.265,640,360,10.1,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00018389,0.01085,0.008091,-34.1
AncientThought_s021.265,960,540,12.8,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00023146,0.013656,0.010184,-34.1
AncientThought_s021.265,1280,720,16.4,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00030757,0.018147,0.013533,-34.1
AncientThought_s021.265,1920,1080,24.8,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.0004815,0.028409,0.021186,-34.1
AncientThought_s021.265,2560,1440,34.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00067614,0.039892,0.02975,-34.1
AncientThought_s021.265,3840,2160,73.4,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00144647,0.085342,0.063645,-34.1
AncientThought_s022.265,640,360,10.9,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00019576,0.01155,0.008613,-34.1
AncientThought_s022.265,960,540,13.2,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00024207,0.014282,0.010651,-34.1
AncientThought_s022.265,1280,720,16.4,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00030991,0.018284,0.013636,-34.1
AncientThought_s022.265,1920,1080,23.7,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00046097,0.027197,0.020283,-34.1
AncientThought_s022.265,2560,1440,33.8,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00066102,0.039,0.029085,-34.1
AncientThought_s022.265,3840,2160,67.8,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00133072,0.078513,0.058552,-34.1
AncientThought_s023.265,640,360,10.1,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00018281,0.010786,0.008043,-34.1
AncientThought_s023.265,960,540,12.3,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00022381,0.013205,0.009847,-34.1
AncientThought_s023.265,1280,720,15.3,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00028753,0.016964,0.012651,-34.1
AncientThought_s023.265,1920,1080,22.5,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00043676,0.025769,0.019217,-34.1
AncientThought_s023.265,2560,1440,33.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00064286,0.037929,0.028286,-34.1
AncientThought_s023.265,3840,2160,64.3,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00126486,0.074627,0.055654,-34.1
AncientThought_s024.265,640,360,9.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00015957,0.009415,0.007021,-34.1
AncientThought_s024.265,960,540,10.8,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00019307,0.011391,0.008495,-34.1
AncientThought_s024.265,1280,720,13.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00025061,0.014786,0.011027,-34.1
AncientThought_s024.265,1920,1080,19.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00037566,0.022164,0.016529,-34.1
AncientThought_s024.265,2560,1440,28.4,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00055063,0.032487,0.024228,-34.1
AncientThought_s024.265,3840,2160,55.8,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00108866,0.064231,0.047901,-34.1
AncientThought_s025.265,640,360,9.5,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00017048,0.010058,0.007501,-34.1
AncientThought_s025.265,960,540,11.9,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00021309,0.012572,0.009376,-34.1
AncientThought_s025.265,1280,720,14.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00027147,0.016017,0.011945,-34.1
AncientThought_s025.265,1920,1080,21.5,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00041563,0.024522,0.018288,-34.1
