segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s006.265,2560,1440,23.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00045971,0.020227,0.027123,25.4
AncientThought_s006.265,3840,2160,45.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00088208,0.038812,0.052043,25.4
AncientThought_s007.265,640,360,8.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00014635,0.00644,0.008635,25.4
AncientThought_s007.265,960,540,9.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00017349,0.007634,0.010236,25.4
AncientThought_s007.265,1280,720,11.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.0002161,0.009508,0.01275,25.4
AncientThought_s007.265,1920,1080,17.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00032836,0.014448,0.019373,25.4
AncientThought_s007.265,2560,1440,24.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00046587,0.020498,0.027486,25.4
AncientThought_s007.265,3840,2160,46.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.0008902,0.039169,0.052522,25.4
AncientThought_s008.265,640,360,9.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00016159,0.00711,0.009534,25.4
AncientThought_s008.265,960,540,10.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00019431,0.00855,0.011464,25.4
AncientThought_s008.265,1280,720,13.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00023966,0.010545,0.01414,25.4
AncientThought_s008.265,1920,1080,18.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00035169,0.015474,0.02075,25.4
AncientThought_s008.265,2560,1440,25.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00050235,0.022103,0.029639,25.4
AncientThought_s008.265,3840,2160,50.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00096719,0.042557,0.057064,25.4
AncientThought_s009.265,640,360,11.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00020365,0.00896,0.012015,25.4
AncientThought_s009.265,960,540,13.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00024789,0.010907,0.014626,25.4
AncientThought_s009.265,1280,720,16.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.0003116,0.01371,0.018384,25.4
AncientThought_s009.265,1920,1080,23.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00045095,0.019842,0.026606,25.4
AncientThought_s009.265,2560,1440,32.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00063857,0.028097,0.037675,25.4
AncientThought_s009.265,3840,2160,64.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00125641,0.055282,0.074128,25.4
AncientThought_s010.265,640,360,9.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00016973,0.007468,0.010014,25.4
AncientThought_s010.265,960,540,11.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00020187,0.008882,0.01191,25.4
AncientThought_s010.265,1280,720,13.4,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00024462,0.010763,0.014433,25.4
AncientThought_s010.265,1920,1080,18.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00035545,0.01564,0.020972,25.4
AncientThought_s010.265,2560,1440,26.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00050302,0.022133,0.029678,25.4
AncientThought_s010.265,3840,2160,51.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00099369,0.043722,0.058628,25.4
AncientThought_s011.265,640,360,8.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00016182,0.00712,0.009548,25.4
AncientThought_s011.265,960,540,10.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00019644,0.008643,0.01159,25.4
AncientThought_s011.265,1280,720,13.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00024423,0.010746,0.01441,25.4
